Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,Actual_Mbps,Is_Congested,State,Environment,RSSI_Score_0_100,GA_Normalized_RTT,GA_Normalized_UTIL,GA_Congestion_Score_0_100,GA_Hybrid_Score_0_100,APQI_raw,APQI_Qualified,APQI_Score_0_100
CONGESTED_OPEN2_R1,14,-50,1201.0,39,8,0.0,13.4185,57.8818,71.3003,False,정상,RSSI 양호·혼잡 환경,88.67924528301887,0.9571428571428572,0.6091954022988506,81.13339045901448,88.67924528301887,5.062631468469947,True,70.47971968800434
CONGESTED_OPEN2_R1,15,-50,1201.0,35,10,0.0,63.8608,95.0764,158.93720000000002,False,정상,RSSI 양호·혼잡 환경,88.67924528301887,0.9428571428571428,0.6551724137931034,82.23015577356931,88.67924528301887,5.159022673464586,True,72.05763756880776
CONGESTED_OPEN2_R1,16,-50,1201.0,41,7,0.0,33.4875,76.1137,109.60119999999999,False,정상,RSSI 양호·혼잡 환경,88.67924528301887,0.9642857142857143,0.5862068965517242,80.58500780173706,88.67924528301887,5.018024067208108,True,69.74949937307889
CONGESTED_OPEN2_R1,17,-50,1201.0,35,6,0.0,92.4217,77.2396,169.66129999999998,False,정상,RSSI 양호·혼잡 환경,88.67924528301887,0.9714285714285714,0.6551724137931034,83.8900000113553,88.67924528301887,5.1621856421096215,True,72.1094151638871
CONGESTED_OPEN2_R1,18,-52,1201.0,31,11,0.0,94.8056,53.3613,148.1669,False,정상,RSSI 양호·혼잡 환경,84.90566037735849,0.9357142857142857,0.7011494252873562,83.74188214757064,84.90566037735849,5.133007289428543,True,71.63176739062372
CONGESTED_OPEN2_R1,19,-54,1201.0,34,6,0.0,30.0155,77.8652,107.8807,False,정상,RSSI 양호·혼잡 환경,81.13207547169812,0.9714285714285714,0.6666666666666667,84.37167186971726,81.13207547169812,4.850457535852745,True,67.00644593719186
CONGESTED_OPEN2_R1,20,-51,1201.0,34,6,0.0,22.6047,66.7671,89.37180000000001,False,정상,RSSI 양호·혼잡 환경,86.79245283018868,0.9714285714285714,0.6666666666666667,84.37167186971726,86.79245283018868,4.950247169059575,True,68.63999587117837
CONGESTED_OPEN2_R1,21,-50,1201.0,68,8,0.0,82.3013,61.3923,143.6936,True,혼잡,RSSI 양호·혼잡 환경,88.67924528301887,0.9571428571428572,0.27586206896551724,67.16490656651774,67.16490656651774,4.47156970848794,True,60.80407635740565
CONGESTED_OPEN2_R1,22,-55,1201.0,38,17,0.0,53.709,57.7727,111.4817,False,정상,RSSI 양호·혼잡 환경,79.24528301886792,0.8928571428571429,0.6206896551724138,77.88041278235795,79.24528301886792,4.698372819519543,True,64.51682882624877
CONGESTED_OPEN2_R1,23,-55,1201.0,52,22,0.0,2.5139,23.6903,26.2042,True,혼잡,RSSI 양호·혼잡 환경,79.24528301886792,0.8571428571428572,0.45977011494252873,69.06220146805806,69.06220146805806,4.28813800341203,True,57.801311039121295
CONGESTED_OPEN2_R1,24,-55,1201.0,89,23,0.0,22.582,46.668,69.25,True,혼잡,RSSI 양호·혼잡 환경,79.24528301886792,0.85,0.03448275862068961,50.82538164921917,50.82538164921917,3.756871842278655,False,0.0
CONGESTED_OPEN2_R1,25,-54,1201.0,71,10,0.0,3.3465,54.093,57.4395,True,혼잡,RSSI 양호·혼잡 환경,81.13207547169812,0.9428571428571428,0.24137931034482762,64.88996887253886,64.88996887253886,3.9850786992712597,True,52.840249550428844
CONGESTED_OPEN2_R1,26,-51,1201.0,60,21,0.0,55.8672,54.1433,110.01050000000001,True,혼잡,RSSI 양호·혼잡 환경,86.79245283018868,0.8642857142857143,0.367816091954023,65.62378766060891,65.62378766060891,4.345961860032822,True,58.74788388572111
CONGESTED_OPEN2_R1,27,-55,1201.0,73,15,0.0,31.8771,53.7997,85.6768,True,혼잡,RSSI 양호·혼잡 환경,79.24528301886792,0.9071428571428571,0.2183908045977011,61.85181985858246,61.85181985858246,4.018849198456221,True,53.39307046921049
CONGESTED_OPEN2_R1,28,-51,1201.0,78,31,0.0,2.5129,20.071,22.5839,True,혼잡,RSSI 양호·혼잡 환경,86.79245283018868,0.7928571428571428,0.16091954022988508,52.804083615628706,52.804083615628706,4.1470989201221515,True,55.49251023693608
CONGESTED_OPEN2_R1,29,-50,1201.0,45,9,0.0,5.4466,4.2008,9.647400000000001,False,정상,RSSI 양호·혼잡 환경,88.67924528301887,0.95,0.5402298850574713,77.82839824939624,88.67924528301887,4.781582827443115,True,65.87897135130282
CONGESTED_OPEN2_R1,30,-53,1201.0,61,10,0.0,24.3332,40.3799,64.7131,True,혼잡,RSSI 양호·혼잡 환경,83.01886792452831,0.9428571428571428,0.3563218390804598,69.70668745615843,69.70668745615843,4.398221423779848,True,59.60336961270216
CONGESTED_OPEN2_R1,31,-51,1201.0,79,11,0.0,9.6351,74.6333,84.2684,True,혼잡,RSSI 양호·혼잡 환경,86.79245283018868,0.9357142857142857,0.14942528735632188,60.62163294619672,60.62163294619672,4.2520018127290635,True,57.209763901330604
CONGESTED_OPEN2_R1,32,-52,1201.0,59,25,0.0,4.1892,34.1418,38.331,True,혼잡,RSSI 양호·혼잡 환경,84.90566037735849,0.8357142857142857,0.3793103448275862,64.44561528118487,64.44561528118487,4.475488087410756,True,60.8682199705747
CONGESTED_OPEN2_R1,33,-55,1201.0,84,34,0.0,7.3521,1.2556,8.6077,True,혼잡,RSSI 양호·혼잡 환경,79.24528301886792,0.7714285714285715,0.09195402298850575,48.66916928711748,48.66916928711748,3.953656661310286,False,0.0
CONGESTED_OPEN2_R1,34,-53,1201.0,85,36,0.0,0.4159,23.2031,23.619,True,혼잡,RSSI 양호·혼잡 환경,83.01886792452831,0.7571428571428571,0.08045977011494254,47.35757530986252,47.35757530986252,3.967362013201127,False,0.0
CONGESTED_OPEN2_R1,35,-58,1080.8,87,56,0.0,3.3454,24.0745,27.419900000000002,True,혼잡,RSSI 양호·혼잡 환경,73.58490566037736,0.6142857142857143,0.05747126436781613,38.095010404208644,38.095010404208644,3.628328373127434,False,0.0
CONGESTED_OPEN2_R1,36,-52,1201.0,83,19,0.0,16.5442,58.5332,75.0774,True,혼잡,RSSI 양호·혼잡 환경,84.90566037735849,0.8785714285714286,0.10344827586206895,55.37525703717691,55.37525703717691,3.9071995617209034,False,0.0
CONGESTED_OPEN2_R1,37,-56,1201.0,78,26,0.0,88.2988,50.625,138.9238,True,혼잡,RSSI 양호·혼잡 환경,77.35849056603774,0.8285714285714285,0.16091954022988508,54.87888891286119,54.87888891286119,3.8157097853023076,True,50.06769122605961
